scenario,family,raw_hard_safety_cost,projected_hard_safety_cost,raw_soft_operation_cost,projected_soft_operation_cost,mean_projection_distance_l2,mean_weighted_projection_distance,mean_solve_time_ms,p95_solve_time_ms,intervention_rate,fallback_rate,hard_safety_reduction_pct
compound_extreme,compound_extreme,451.0127238172859,6.230221626038998,0.0,19.52910467971205,2.7091168223155866,2.4583262054842905,44.540529513888806,48.27252208333649,1.0,1.0,98.61861510839259
cold_wave_extreme,weather_extreme,400.49818101975734,3.699596751393155,0.0,17.036566644464497,2.630365878343582,2.3779463364514246,44.47447986111137,47.941557916667854,1.0,1.0,99.07625129732845
load_up_35,load_extreme,399.32020894225997,1.0232541962808221,0.0,30.87213446763276,2.5532809471090636,2.286692552812542,44.685099305555546,48.09840499999988,1.0,1.0,99.74375096141732
compound_stress,compound,362.7168730587394,0.3207990088570208,0.0,34.04572348056208,2.4768973597221904,2.207918350085169,44.46381319444499,48.233951250000054,1.0,1.0,99.91155663475158
load_up_20,load,354.22481738626567,0.12113785227155842,0.0,35.20964210600588,2.421009405205647,2.149455138050735,44.101247569444524,47.676378750000424,1.0,1.0,99.96580198610437
cold_wave,weather,354.0067912277087,0.32079910633983183,0.0,24.80744386449572,2.434120929075612,2.1744916873366362,44.453819791666774,48.357887499999556,1.0,1.0,99.90938052198736
load_up_10,load,329.10891804304885,2.500540987604438e-07,0.0,33.719831763133115,2.300402452962266,2.026026465885761,44.975367013888935,49.79747625000015,1.0,1.0,99.99999992402087
renewable_down_20,renewable,307.35334726147624,1.0237409209246096e-07,0.0,41.083334184497375,2.193488999373383,1.9150520879804394,44.53364479166661,48.185752083333654,1.0,1.0,99.99999996669173
equipment_degradation,equipment,307.1518114980524,1.200491914025529e-07,0.0,43.94508073724375,2.2078292224970126,1.9315123676129409,46.028391666666685,50.610128333330806,1.0,1.0,99.99999996091536
in_distribution,baseline,307.0085928710062,1.3591455198339966e-07,0.0,39.86857642648243,2.1923600236574807,1.9134581496033123,45.71958923611107,50.30185708333309,1.0,1.0,99.9999999557294
