episode,raw_hard_safety_cost,projected_hard_safety_cost,raw_soft_operation_cost,projected_soft_operation_cost,mean_projection_distance_l2,mean_solve_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate,method,scenario,family,risk_score,steps,mean_weighted_projection_distance,p95_solve_time_ms,fallback_rate
0,170.75437832952582,170.75437832952582,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,in_distribution,baseline,3.031865293197362,,,,
1,190.71590412211287,190.71590412211287,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,in_distribution,baseline,3.031865293197362,,,,
2,196.96139202166802,196.96139202166802,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,in_distribution,baseline,3.031865293197362,,,,
3,293.18318078052937,293.18318078052937,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,in_distribution,baseline,3.031865293197362,,,,
0,281.48704787854626,4.6985993673587245e-07,0.0,22.746888365815536,1.9987718363602955,53.65586249999995,1.0,0.0,0.0,1.0,fixed_safety,in_distribution,baseline,3.031865293197362,24.0,1.698077316766031,60.40859499999972,1.0
1,301.4485736711333,9.768204645155265e-08,0.0,32.60942958075947,2.111176366607348,52.07895833333331,1.0,0.0,0.0,1.0,fixed_safety,in_distribution,baseline,3.031865293197362,24.0,1.8288435273781092,56.6472199999998,1.0
2,307.69406157068846,2.436274995076815e-07,0.0,27.91070198783531,2.1903022627035775,51.77247500000004,1.0,0.0,0.0,1.0,fixed_safety,in_distribution,baseline,3.031865293197362,24.0,1.917459902907705,61.34142999999965,1.0
3,406.2534777686543,3.3011417954753597e-07,0.0,1.319227266563713,2.569632828235626,50.45135416666657,1.0,0.0,0.0,1.0,fixed_safety,in_distribution,baseline,3.031865293197362,24.0,2.334060251118256,54.85074500000029,1.0
0,235.38114821389271,0.0,0.0,14.225675996650518,1.7790597726901372,160.7834958333328,1.0,0.0,1.0,0.0,adaptive_safety,in_distribution,baseline,3.031865293197362,24.0,1.5444420250331856,176.14819999999955,
1,301.4485736711333,0.0,0.0,18.151427139489858,1.9241146792968113,162.41677083333306,1.0,0.0,1.0,0.0,adaptive_safety,in_distribution,baseline,3.031865293197362,24.0,1.6764593608256202,175.34330999999924,
2,307.69406157068846,0.0,0.0,16.66593794293766,1.9271670927604039,159.72337083333366,1.0,0.0,1.0,0.0,adaptive_safety,in_distribution,baseline,3.031865293197362,24.0,1.6868314628859407,172.83100999999917,
3,406.2534777686543,1.053697065600545e-06,0.0,1.3192286655650136,2.569632828235626,181.64806666666655,1.0,0.0,1.0,0.0,adaptive_safety,in_distribution,baseline,3.031865293197362,24.0,2.3340602533547607,213.3435699999989,
0,203.05178790523505,203.05178790523505,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,load_up_20,load,3.3726814354215984,,,,
1,227.0056188563395,227.0056188563395,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,load_up_20,load,3.3726814354215984,,,,
2,234.50020433580562,234.50020433580562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,load_up_20,load,3.3726814354215984,,,,
3,349.9663508464392,349.9663508464392,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_safety,load_up_20,load,3.3726814354215984,,,,
0,313.7844574542555,4.734769039060893e-07,0.0,15.90023889612334,2.180746073524157,59.1369541666665,1.0,0.0,0.0,1.0,fixed_safety,load_up_20,load,3.3726814354215984,24.0,1.9047246453337003,63.7228600000002,1.0
1,338.06280598259644,2.2124412435431395e-07,0.0,36.48320193708136,2.451791529854139,60.95339166666639,1.0,0.0,0.0,1.0,fixed_safety,load_up_20,load,3.3726814354215984,24.0,2.183075920940836,70.48028500000053,1.0
2,345.25054220965416,4.8322229773134495e-08,0.0,52.66329332878831,2.5388484547535577,56.609241666666286,1.0,0.0,0.0,1.0,fixed_safety,load_up_20,load,3.3726814354215984,24.0,2.235660333437176,63.445690000001065,1.0
3,489.51976410889733,1.4536527031148694,0.0,17.79753617681174,2.9459942976633706,59.479529166666985,1.0,0.0,0.0,1.0,fixed_safety,load_up_20,load,3.3726814354215984,24.0,2.7211786443239063,64.05867500000237,1.0
0,313.7844574542555,0.0,0.0,11.935540762373499,1.922893539071083,168.12680833333346,1.0,0.0,1.0,0.0,adaptive_safety,load_up_20,load,3.3726814354215984,24.0,1.68686152385911,191.8607750000003,
1,337.73828840536004,2.541546795242766e-07,0.0,17.89192404084358,2.1426962465047836,171.2507999999997,1.0,0.0,1.0,0.0,adaptive_safety,load_up_20,load,3.3726814354215984,24.0,1.8852157877882068,193.7661550000003,
