method,algorithm,seed,scenario,safety_mode,episodes,raw_mean_episode_hard_safety_cost,mean_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_projection_distance_l2,mean_weighted_projection_distance,mean_decision_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate
perfect_information_lp,perfect_information_lp,-1,in_distribution,classical,1,0.0,11187.56054652203,11187.56054652203,0.0,0.0,0.0,0.0,0.0,0.46263750000001086,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,-1,in_distribution,classical,1,7.105427357601002e-15,11187.449136123743,11187.449136123743,1.4210854715202004e-14,7.105427357601002e-15,0.0,0.0,0.0,8.989754166666641,0.0,1.0,0.0,0.0
rule_based,rule_based,-1,in_distribution,classical,1,0.0,13058.577595908842,13058.577595908842,0.0,0.0,0.0,0.0,0.0,0.20211666666669625,0.0,1.0,0.0,0.0
perfect_information_lp,perfect_information_lp,-1,load_up_20,classical,1,0.0,14841.636473521176,14841.636473521176,0.0,0.0,0.0,0.0,0.0,0.352095833333362,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,-1,load_up_20,classical,1,5.329070518200751e-15,14944.931874577996,14944.931874577996,1.865174681370263e-14,5.329070518200751e-15,0.0,0.0,0.0,7.986170833333307,0.0,1.0,0.0,0.0
rule_based,rule_based,-1,load_up_20,classical,1,0.0,16655.31700534915,16655.31700534915,0.0,0.0,0.0,0.0,0.0,0.18842083333333223,0.0,1.0,0.0,0.0
perfect_information_lp,perfect_information_lp,-1,cold_wave_extreme,classical,1,0.0,15025.62696869869,15025.62696869869,0.0,0.0,0.0,0.0,0.0,0.3157416666666653,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,-1,cold_wave_extreme,classical,1,1.3322676295501878e-14,15402.482731977678,15402.482731977678,2.842170943040401e-14,1.3322676295501878e-14,0.0,0.0,0.0,7.709687499999859,0.0,1.0,0.0,0.0
rule_based,rule_based,-1,cold_wave_extreme,classical,1,0.0,17196.555434418853,17196.555434418853,0.0,0.0,0.0,0.0,0.0,0.2207083333333563,0.0,1.0,0.0,0.0
perfect_information_lp,perfect_information_lp,-1,compound_extreme,classical,1,0.0,21975.40179737711,21975.40179737711,0.0,0.0,0.0,0.0,0.0,0.35157500000001135,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,-1,compound_extreme,classical,1,0.0,22362.49598376357,22362.49598376357,8.881784197001252e-16,0.0,0.0,0.0,0.0,7.54706249999996,0.0,1.0,0.0,0.0
rule_based,rule_based,-1,compound_extreme,classical,1,0.0,23220.994525861286,23220.994525861286,0.0,0.0,0.0,0.0,0.0,0.1888208333333067,0.0,1.0,0.0,0.0
