method,algorithm,scenario,family,seed,episodes,raw_mean_episode_hard_safety_cost,mean_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_projection_distance_l2,mean_weighted_projection_distance,mean_decision_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate
perfect_information_lp,perfect_information_lp,year_2017_winter,cross_year,-1,1,0.0,27152.173779308738,27152.173779308738,0.0,0.0,0.0,0.0,0.0,0.37000833333330113,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,year_2017_winter,cross_year,-1,1,0.0,27452.691005611792,27452.691005611792,0.0,0.0,0.0,0.0,0.0,7.706066666666696,0.0,1.0,0.0,0.0
rule_based,rule_based,year_2017_winter,cross_year,-1,1,0.0,28324.064678544855,28324.064678544855,0.0,0.0,0.0,0.0,0.0,0.20863749999999737,0.0,1.0,0.0,0.0
cql,cql,year_2017_winter,cross_year,0,1,51.97025449152885,443649.50022708747,443649.50022708747,57.21477491621049,51.97025449152885,1.0,0.0,0.0,0.2897208333334141,0.0,1.0,0.0,0.0
cql_adaptive_safety,cql,year_2017_winter,cross_year,0,1,55.84681049345373,30349.126945780237,30349.126945780237,16.490562258954284,0.0,0.0,0.46715386770665646,0.4488755971290916,145.93055416666664,0.7916666666666666,0.20833333333333334,0.7916666666666666,0.0
iql,iql,year_2017_winter,cross_year,0,1,60.10189602543843,508054.3543334526,508054.3543334526,61.84876754831109,60.10189602543843,1.0,0.0,0.0,0.2823666666667742,0.0,1.0,0.0,0.0
iql_adaptive_safety,iql,year_2017_winter,cross_year,0,1,64.29895388201174,30089.844461552555,30089.844461552555,13.010480864858039,0.0,0.0,0.5272072091077765,0.5082815193855255,197.19434583333341,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0
perfect_information_lp,perfect_information_lp,year_2018_winter,cross_year,-1,1,0.0,18598.824100867903,18598.824100867903,0.0,0.0,0.0,0.0,0.0,0.31036249999997584,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,year_2018_winter,cross_year,-1,1,8.881784197001252e-16,18584.657149255654,18584.657149255654,3.552713678800501e-15,8.881784197001252e-16,0.0,0.0,0.0,7.254791666666686,0.0,1.0,0.0,0.0
rule_based,rule_based,year_2018_winter,cross_year,-1,1,0.0,19892.823007887324,19892.823007887324,0.0,0.0,0.0,0.0,0.0,0.23264583333326705,0.0,1.0,0.0,0.0
cql,cql,year_2018_winter,cross_year,0,1,26.603302180951268,232912.8852537655,232912.8852537655,42.28904137277121,26.603302180951268,1.0,0.0,0.0,0.25262083333340196,0.0,1.0,0.0,0.0
cql_adaptive_safety,cql,year_2018_winter,cross_year,0,1,28.863732984062814,21288.021738662337,21288.021738662337,24.64854312097323,0.0,0.0,0.2591838237519066,0.250658507500393,165.63891249999995,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.0
iql,iql,year_2018_winter,cross_year,0,1,32.111215693105365,276428.8821250168,276428.8821250168,42.73901059533041,32.111215693105365,1.0,0.0,0.0,0.24802916666673744,0.0,1.0,0.0,0.0
iql_adaptive_safety,iql,year_2018_winter,cross_year,0,1,35.37203531083616,20791.2983656461,20791.2983656461,18.374284713442897,1.5413897536120658e-07,0.0,0.3416658037652572,0.3249592777419101,202.93235416666644,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.0
perfect_information_lp,perfect_information_lp,year_2019_winter,cross_year,-1,1,0.0,17871.95219935336,17871.95219935336,0.0,0.0,0.0,0.0,0.0,0.339045833333292,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,year_2019_winter,cross_year,-1,1,3.552713678800501e-15,17869.37836269971,17869.37836269971,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,0.0,8.654350000000033,0.0,1.0,0.0,0.0
rule_based,rule_based,year_2019_winter,cross_year,-1,1,0.0,19574.1052205331,19574.1052205331,0.0,0.0,0.0,0.0,0.0,0.16258333333333633,0.0,1.0,0.0,0.0
cql,cql,year_2019_winter,cross_year,0,1,5.588526442991766,65580.06537855536,65580.06537855536,29.342257835914822,5.588526442991766,1.0,0.0,0.0,0.3203541666665366,0.0,1.0,0.0,0.0
cql_adaptive_safety,cql,year_2019_winter,cross_year,0,1,6.854138596344606,21220.86772523871,21220.86772523871,28.43617944713827,0.0,0.0,0.07584087162589033,0.07339926282758147,282.27757916666656,0.4583333333333333,0.5416666666666666,0.4583333333333333,0.0
iql,iql,year_2019_winter,cross_year,0,1,9.979195065844277,100180.47772289526,100180.47772289526,28.326620907250966,9.979195065844277,1.0,0.0,0.0,0.28244583333295975,0.0,1.0,0.0,0.0
iql_adaptive_safety,iql,year_2019_winter,cross_year,0,1,11.400492942014065,20854.74746558932,20854.74746558932,22.107975920761632,0.0,0.0,0.10767908145984013,0.10477839206259261,224.10504999999932,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.0
perfect_information_lp,perfect_information_lp,summer_peak,cross_season,-1,1,0.0,16721.79601046558,16721.79601046558,0.0,0.0,0.0,0.0,0.0,0.3894916666666859,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,summer_peak,cross_season,-1,1,6.661338147750939e-16,16721.796010465587,16721.796010465587,1.4432899320127035e-15,6.661338147750939e-16,0.0,0.0,0.0,8.164075000000123,0.0,1.0,0.0,0.0
rule_based,rule_based,summer_peak,cross_season,-1,1,0.0,17104.61946036076,17104.61946036076,0.0,0.0,0.0,0.0,0.0,0.2105958333335304,0.0,1.0,0.0,0.0
cql,cql,summer_peak,cross_season,0,1,0.0,22014.366657063732,22014.366657063732,185.80399875054846,0.0,0.0,0.0,0.0,0.28022500000061495,0.0,1.0,0.0,0.0
cql_adaptive_safety,cql,summer_peak,cross_season,0,1,0.0,22014.366657063732,22014.366657063732,185.80399875054846,0.0,0.0,0.0,0.0,4.42432916666687,0.0,1.0,0.0,0.0
iql,iql,summer_peak,cross_season,0,1,0.0,22128.811241142597,22128.811241142597,177.71605819629482,0.0,0.0,0.0,0.0,0.2673791666654897,0.0,1.0,0.0,0.0
iql_adaptive_safety,iql,summer_peak,cross_season,0,1,0.0,22128.811241142597,22128.811241142597,177.71605819629482,0.0,0.0,0.0,0.0,3.8418541666658257,0.0,1.0,0.0,0.0
perfect_information_lp,perfect_information_lp,shoulder_season,cross_season,-1,1,0.0,16081.29563380771,16081.29563380771,0.0,0.0,0.0,0.0,0.0,0.30898333333340133,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,shoulder_season,cross_season,-1,1,5.551115123125783e-16,16081.295633807713,16081.295633807713,1.887379141862766e-15,5.551115123125783e-16,0.0,0.0,0.0,7.614824999999807,0.0,1.0,0.0,0.0
rule_based,rule_based,shoulder_season,cross_season,-1,1,0.0,16611.6838005517,16611.6838005517,0.0,0.0,0.0,0.0,0.0,0.17694583333316416,0.0,1.0,0.0,0.0
cql,cql,shoulder_season,cross_season,0,1,0.0,21292.708939374115,21292.708939374115,173.14102083562295,0.0,0.0,0.0,0.0,0.2366750000009077,0.0,1.0,0.0,0.0
cql_adaptive_safety,cql,shoulder_season,cross_season,0,1,0.0,21292.708939374115,21292.708939374115,173.14102083562295,0.0,0.0,0.0,0.0,3.71701249999982,0.0,1.0,0.0,0.0
iql,iql,shoulder_season,cross_season,0,1,0.0,21382.131671859643,21382.131671859643,165.0710384532523,0.0,0.0,0.0,0.0,0.2396041666665738,0.0,1.0,0.0,0.0
iql_adaptive_safety,iql,shoulder_season,cross_season,0,1,0.0,21382.131671859643,21382.131671859643,165.0710384532523,0.0,0.0,0.0,0.0,3.8730000000007556,0.0,1.0,0.0,0.0
perfect_information_lp,perfect_information_lp,cold_climate_zone,climate_zone,-1,1,0.0,21264.345977541085,21264.345977541085,0.0,0.0,0.0,0.0,0.0,0.31972916666648626,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,cold_climate_zone,climate_zone,-1,1,8.881784197001252e-16,21374.48328859397,21374.48328859397,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0,0.0,7.67426250000014,0.0,1.0,0.0,0.0
rule_based,rule_based,cold_climate_zone,climate_zone,-1,1,0.0,22530.31522002363,22530.31522002363,0.0,0.0,0.0,0.0,0.0,0.19191666666647697,0.0,1.0,0.0,0.0
cql,cql,cold_climate_zone,climate_zone,0,1,56.854841829381044,476701.2276947928,476701.2276947928,66.05870316317376,56.854841829381044,1.0,0.0,0.0,0.2639208333337824,0.0,1.0,0.0,0.0
cql_adaptive_safety,cql,cold_climate_zone,climate_zone,0,1,58.933100925654415,24462.210040012178,24462.210040012178,18.307723096852555,0.0,0.0,0.4837226591383417,0.4699830578835223,168.29050000000004,0.75,0.25,0.75,0.0
iql,iql,cold_climate_zone,climate_zone,0,1,63.739831063563024,531182.4695290357,531182.4695290357,69.12225836489309,63.739831063563024,1.0,0.0,0.0,0.25891250000024496,0.0,1.0,0.0,0.0
iql_adaptive_safety,iql,cold_climate_zone,climate_zone,0,1,66.50942451495314,24312.024563405394,24312.024563405394,17.027795962697375,0.0,0.0,0.5500180361171564,0.5340565241066183,155.85928333333348,0.7916666666666666,0.20833333333333334,0.7916666666666666,0.0
perfect_information_lp,perfect_information_lp,warm_low_solar_zone,climate_zone,-1,1,0.0,18423.5409762832,18423.5409762832,0.0,0.0,0.0,0.0,0.0,0.32943333333346203,0.0,1.0,0.0,0.0
rolling_mpc,rolling_mpc,warm_low_solar_zone,climate_zone,-1,1,3.3306690738754696e-16,18423.53855812407,18423.53855812407,2.3314683517128287e-15,3.3306690738754696e-16,0.0,0.0,0.0,7.360358333333335,0.0,1.0,0.0,0.0
rule_based,rule_based,warm_low_solar_zone,climate_zone,-1,1,0.0,18872.99935412619,18872.99935412619,0.0,0.0,0.0,0.0,0.0,0.19529583333325698,0.0,1.0,0.0,0.0
cql,cql,warm_low_solar_zone,climate_zone,0,1,0.0,23620.396026403556,23620.396026403556,179.3743122524663,0.0,0.0,0.0,0.0,0.2584541666665885,0.0,1.0,0.0,0.0
cql_adaptive_safety,cql,warm_low_solar_zone,climate_zone,0,1,0.0,23620.396026403556,23620.396026403556,179.3743122524663,0.0,0.0,0.0,0.0,441.5252874999996,0.0,1.0,0.0,0.0
iql,iql,warm_low_solar_zone,climate_zone,0,1,0.0,23704.60448281542,23704.60448281542,171.2045329163255,0.0,0.0,0.0,0.0,0.26978333333331034,0.0,1.0,0.0,0.0
iql_adaptive_safety,iql,warm_low_solar_zone,climate_zone,0,1,0.0,23704.60448281542,23704.60448281542,171.2045329163255,0.0,0.0,0.0,0.0,485.8072041666673,0.0,1.0,0.0,0.0
perfect_information_lp,perfect_information_lp,price_spike_low_renewable,compound_stress,-1,1,0.0,25591.928713497582,25591.928713497582,0.0,0.0,0.0,0.0,0.0,0.31770416666650664,0.0,1.0,0.0,0.0
