method,scenario,metric,n,mean,std,ci95_half_width,ci95_low,ci95_high
bc,cold_wave_extreme,mean_episode_cost_eur,5,530195.3525036781,71598.46980492605,88901.24228325613,441294.1102204219,619096.5947869342
bc,cold_wave_extreme,mean_episode_hard_safety_cost,5,64.50080829697553,8.98413654641225,11.155278904626813,53.34552939234872,75.65608720160235
bc,cold_wave_extreme,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
bc,compound_extreme,mean_episode_cost_eur,5,692610.535885851,64573.7880082653,80178.94779750511,612431.588088346,772789.4836833561
bc,compound_extreme,mean_episode_hard_safety_cost,5,83.91494999342649,8.106496080450878,10.0655443346758,73.8494056587507,93.98049432810228
bc,compound_extreme,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
bc,in_distribution,mean_episode_cost_eur,5,56251.670530125906,30337.57238788875,37669.07142694213,18582.599103183777,93920.74195706804
bc,in_distribution,mean_episode_hard_safety_cost,5,5.38300014021778,3.812105144110001,4.733353714808769,0.6496464254090109,10.11635385502655
bc,in_distribution,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
bc,load_up_20,mean_episode_cost_eur,5,225974.51178585785,62502.88853940135,77607.58648311745,148366.9253027404,303582.0982689753
bc,load_up_20,mean_episode_hard_safety_cost,5,26.216478993534178,7.837105265381226,9.731051458157042,16.485427535377134,35.94753045169122
bc,load_up_20,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
cql,cold_climate_zone,mean_episode_cost_eur,1,476701.2276947928,0.0,0.0,476701.2276947928,476701.2276947928
cql,cold_climate_zone,mean_episode_hard_safety_cost,1,56.854841829381044,0.0,0.0,56.854841829381044,56.854841829381044
cql,cold_climate_zone,unsafe_episode_rate,1,1.0,0.0,0.0,1.0,1.0
cql,cold_wave_device_fault,mean_episode_cost_eur,1,879696.6290241198,0.0,0.0,879696.6290241198,879696.6290241198
cql,cold_wave_device_fault,mean_episode_hard_safety_cost,1,106.44019579763562,0.0,0.0,106.44019579763562,106.44019579763562
cql,cold_wave_device_fault,unsafe_episode_rate,1,1.0,0.0,0.0,1.0,1.0
cql,cold_wave_extreme,mean_episode_cost_eur,5,414519.3683599049,56963.40926399916,70729.41449805466,343789.95386185026,485248.78285795957
cql,cold_wave_extreme,mean_episode_hard_safety_cost,5,49.93449025797911,7.139297054533206,8.864608125096074,41.06988213288303,58.79909838307518
cql,cold_wave_extreme,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
cql,compound_extreme,mean_episode_cost_eur,5,538233.1754022795,55630.6626463105,69074.59100414283,469158.58439813665,607307.7664064222
cql,compound_extreme,mean_episode_hard_safety_cost,5,64.49223689209431,6.9699485304961195,8.65433415965028,55.837902732444036,73.14657105174459
cql,compound_extreme,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
cql,in_distribution,mean_episode_cost_eur,5,23991.4942166686,8412.301076487292,10445.25138872506,13546.24282794354,34436.74560539366
cql,in_distribution,mean_episode_hard_safety_cost,5,1.2739940355913137,1.063141286576109,1.3200642605455877,-0.04607022495427393,2.594058296136901
cql,in_distribution,unsafe_episode_rate,5,0.8,0.4472135954999579,0.5552890210395597,0.24471097896044036,1.3552890210395598
cql,load_up_20,mean_episode_cost_eur,5,117282.36652128308,47715.10398947067,59246.12679427465,58036.23972700843,176528.49331555772
cql,load_up_20,mean_episode_hard_safety_cost,5,12.547087169948918,5.982621061221693,7.428405186614587,5.118681983334332,19.975492356563507
cql,load_up_20,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
cql,price_spike_low_renewable,mean_episode_cost_eur,1,92823.10185077877,0.0,0.0,92823.10185077877,92823.10185077877
cql,price_spike_low_renewable,mean_episode_hard_safety_cost,1,6.440392755316767,0.0,0.0,6.440392755316767,6.440392755316767
