method,scenario,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_episode_cost_eur,failure_mode
iql,cold_wave_device_fault,117.07623094008314,1.0,964072.0740102226,residual_hard_safety_violation
cql,cold_wave_device_fault,106.44019579763562,1.0,879696.6290241198,residual_hard_safety_violation
iql,compound_extreme,96.65916369699596,1.0,794232.808796599,residual_hard_safety_violation
iql_ood_warning,compound_extreme,96.65916369699596,1.0,794232.808796599,residual_hard_safety_violation
bc,compound_extreme,94.89133763728604,1.0,780210.6068451112,residual_hard_safety_violation
bc,compound_extreme,88.73517316474346,1.0,730836.2025323947,residual_hard_safety_violation
bc,compound_extreme,82.71919379530881,1.0,683037.1890459367,residual_hard_safety_violation
iql,cold_wave_extreme,79.16712890787402,1.0,647069.9098698766,residual_hard_safety_violation
iql_ood_warning,cold_wave_extreme,79.16712890787402,1.0,647069.9098698766,residual_hard_safety_violation
bc,compound_extreme,78.97282366444861,1.0,653127.8946060758,residual_hard_safety_violation
bc,cold_wave_extreme,76.89317516981488,1.0,629055.4373021384,residual_hard_safety_violation
td3_bc,compound_extreme,75.72642550494795,1.0,628012.5528220619,residual_hard_safety_violation
iql,compound_extreme,75.13813274772478,1.0,622909.9250809515,residual_hard_safety_violation
iql_ood_warning,compound_extreme,75.13813274772478,1.0,622909.9250809515,residual_hard_safety_violation
bc,compound_extreme,74.25622170534555,1.0,615840.7863997368,residual_hard_safety_violation
cql,compound_extreme,73.29592317535578,1.0,608418.6652382533,residual_hard_safety_violation
cql_ood_warning,compound_extreme,73.29592317535578,1.0,608418.6652382533,residual_hard_safety_violation
iql,compound_extreme,70.83285478555189,1.0,588247.2260512327,residual_hard_safety_violation
iql_ood_warning,compound_extreme,70.83285478555189,1.0,588247.2260512327,residual_hard_safety_violation
bc,cold_wave_extreme,70.30224305597112,1.0,576239.7646390364,residual_hard_safety_violation
cql,compound_extreme,68.62193828914482,1.0,571414.8157114465,residual_hard_safety_violation
cql_ood_warning,compound_extreme,68.62193828914482,1.0,571414.8157114465,residual_hard_safety_violation
iql,compound_extreme,66.89604603514705,1.0,557572.3422859982,residual_hard_safety_violation
iql_ood_warning,compound_extreme,66.89604603514705,1.0,557572.3422859982,residual_hard_safety_violation
iql,compound_extreme,64.9266379217752,1.0,541294.9596928472,residual_hard_safety_violation
iql_ood_warning,compound_extreme,64.9266379217752,1.0,541294.9596928472,residual_hard_safety_violation
td3_bc,compound_extreme,64.0793990556633,1.0,535426.3064781605,residual_hard_safety_violation
iql,cold_climate_zone,63.739831063563024,1.0,531182.4695290357,residual_hard_safety_violation
cql,compound_extreme,63.6480459068531,1.0,531372.5194376371,residual_hard_safety_violation
cql_ood_warning,compound_extreme,63.6480459068531,1.0,531372.5194376371,residual_hard_safety_violation
td3_bc,compound_extreme,62.28777699435736,1.0,520491.603253795,residual_hard_safety_violation
cql,compound_extreme,62.05141486132411,1.0,518687.42765807966,residual_hard_safety_violation
cql_ood_warning,compound_extreme,62.05141486132411,1.0,518687.42765807966,residual_hard_safety_violation
td3_bc,compound_extreme,62.014612946036735,1.0,518406.2336793516,residual_hard_safety_violation
bc,cold_wave_extreme,61.4902075869623,1.0,506158.110890936,residual_hard_safety_violation
td3_bc,cold_wave_extreme,61.264568283374935,1.0,505072.5985203389,residual_hard_safety_violation
iql,year_2017_winter,60.10189602543843,1.0,508054.3543334526,residual_hard_safety_violation
iql,cold_wave_extreme,59.740768629494525,1.0,492470.15043680265,residual_hard_safety_violation
iql_ood_warning,cold_wave_extreme,59.740768629494525,1.0,492470.15043680265,residual_hard_safety_violation
iql,three_day_low_renewable,59.34011937863522,1.0,501135.62328425597,residual_hard_safety_violation
bc,cold_wave_extreme,59.286488237390685,1.0,488863.0804181192,residual_hard_safety_violation
cql,cold_wave_extreme,58.798836587056094,1.0,485180.39081796975,residual_hard_safety_violation
cql_ood_warning,cold_wave_extreme,58.798836587056094,1.0,485180.39081796975,residual_hard_safety_violation
cql,cold_climate_zone,56.854841829381044,1.0,476701.2276947928,residual_hard_safety_violation
td3_bc,compound_extreme,56.028398294310136,1.0,470650.7852019459,residual_hard_safety_violation
cql,compound_extreme,54.843862227793736,1.0,461272.4489659806,residual_hard_safety_violation
cql_ood_warning,compound_extreme,54.843862227793736,1.0,461272.4489659806,residual_hard_safety_violation
bc,cold_wave_extreme,54.53192743473871,1.0,450660.36926816014,residual_hard_safety_violation
cql,cold_wave_extreme,54.38475463232764,1.0,450227.9644122296,residual_hard_safety_violation
cql_ood_warning,cold_wave_extreme,54.38475463232764,1.0,450227.9644122296,residual_hard_safety_violation
iql,cold_wave_extreme,53.22291489526104,1.0,440175.7233287692,residual_hard_safety_violation
iql_ood_warning,cold_wave_extreme,53.22291489526104,1.0,440175.7233287692,residual_hard_safety_violation
iql,cold_wave_extreme,52.93144203445614,1.0,438694.00107509433,residual_hard_safety_violation
iql_ood_warning,cold_wave_extreme,52.93144203445614,1.0,438694.00107509433,residual_hard_safety_violation
cql,year_2017_winter,51.97025449152885,1.0,443649.50022708747,residual_hard_safety_violation
cql,three_day_low_renewable,51.373734268392,1.0,438024.5095207557,residual_hard_safety_violation
td3_bc,cold_wave_extreme,49.76619067685252,1.0,413633.5075231565,residual_hard_safety_violation
td3_bc,cold_wave_extreme,48.59505874916579,1.0,403749.6406542236,residual_hard_safety_violation
cql,cold_wave_extreme,48.41588576157273,1.0,402311.7191166486,residual_hard_safety_violation
cql_ood_warning,cold_wave_extreme,48.41588576157273,1.0,402311.7191166486,residual_hard_safety_violation
cql,cold_wave_extreme,48.13634813098611,1.0,400064.8386738618,residual_hard_safety_violation
cql_ood_warning,cold_wave_extreme,48.13634813098611,1.0,400064.8386738618,residual_hard_safety_violation
td3_bc,cold_wave_extreme,47.2555394167244,1.0,392986.7687331597,residual_hard_safety_violation
iql,cold_wave_extreme,45.96457265537104,1.0,383205.851338966,residual_hard_safety_violation
iql_ood_warning,cold_wave_extreme,45.96457265537104,1.0,383205.851338966,residual_hard_safety_violation
td3_bc,cold_wave_extreme,40.88637957620195,1.0,342317.8652094169,residual_hard_safety_violation
cql,cold_wave_extreme,39.93662617795296,1.0,334811.92877881473,residual_hard_safety_violation
cql_ood_warning,cold_wave_extreme,39.93662617795296,1.0,334811.92877881473,residual_hard_safety_violation
iql,load_up_20,38.77174931260067,1.0,325985.8423174241,residual_hard_safety_violation
iql_ood_warning,load_up_20,38.77174931260067,1.0,325985.8423174241,residual_hard_safety_violation
bc,load_up_20,37.07326698846656,1.0,312641.17470422067,residual_hard_safety_violation
iql,year_2018_winter,32.111215693105365,1.0,276428.8821250168,residual_hard_safety_violation
bc,load_up_20,31.014978581699616,1.0,264084.3464340284,residual_hard_safety_violation
cql,year_2018_winter,26.603302180951268,1.0,232912.8852537655,residual_hard_safety_violation
bc,load_up_20,23.06774652137894,1.0,200801.1121772948,residual_hard_safety_violation
bc,load_up_20,22.84971796715173,1.0,199290.98321838715,residual_hard_safety_violation
td3_bc,load_up_20,22.07806368585217,1.0,193398.43799255835,residual_hard_safety_violation
iql,load_up_20,21.53822920930667,1.0,188827.3415815998,residual_hard_safety_violation
iql_ood_warning,load_up_20,21.53822920930667,1.0,188827.3415815998,residual_hard_safety_violation
cql,load_up_20,20.086464918297786,1.0,177352.99103359657,residual_hard_safety_violation
cql_ood_warning,load_up_20,20.086464918297786,1.0,177352.99103359657,residual_hard_safety_violation
bc,load_up_20,17.07668490897406,1.0,153054.94239535843,residual_hard_safety_violation
cql,load_up_20,16.515938769635756,1.0,149122.60200626947,residual_hard_safety_violation
cql_ood_warning,load_up_20,16.515938769635756,1.0,149122.60200626947,residual_hard_safety_violation
