algorithm,scenario,mean_episode_cost_eur,std_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_decision_time_ms
bc,efficiency_drop,326932.22320742725,40718.61395478506,920536.411076286,53.57801519373879,38.05652427083579,1.0,0.3732686342593515
bc,in_distribution,337635.6706048701,36774.37958389018,930460.636609734,53.61551496000441,39.60633900972358,1.0,0.38705347222223807
bc,load_up,541357.5632064297,52835.23620693514,1274688.7619617218,72.42746381961406,64.6843795907817,1.0,0.3883451388889063
bc,price_spike,358101.8456309424,25471.628520613525,945581.2643520646,53.10044038003891,41.107222670397654,1.0,0.39540775462966726
cql,efficiency_drop,119783.38357881932,27076.815881316918,464071.0846811792,71.08103027929491,11.851669709053775,1.0,0.3360482638886458
cql,in_distribution,121500.35291986518,28161.448124085786,472518.95012324426,69.89023750139073,12.329953476954593,1.0,0.31052604166661285
cql,load_up,227399.9169178315,53103.18370577641,743234.0445857929,66.2869970991793,25.167105814633086,1.0,0.32987164351861303
cql,price_spike,141210.5869284249,25062.947599891984,518287.69154024386,67.52973722813776,13.558763846745885,1.0,0.3106109953705198
iql,efficiency_drop,153826.89805150364,23202.392653267387,526005.0356372584,64.82681015640328,16.149652585844326,1.0,0.39412812500012934
iql,in_distribution,154120.69361336404,20275.962908403817,526664.005932954,64.60611564330858,16.420460360993662,1.0,0.30814201388872237
iql,load_up,276757.3415200657,41493.2056521574,814523.4863077655,63.97208696332198,31.355458229241254,1.0,0.30541516203727476
iql,price_spike,160801.45772967706,11777.490859947009,524063.5630214037,65.94106215584786,15.796444058279938,1.0,0.38496030092589534
rule_based,efficiency_drop,22830.828114509044,,29885.210586127756,0.0,0.0,0.0,0.5018093749999706
rule_based,in_distribution,20824.00522379988,,27064.34421222786,0.0,0.0,0.0,0.5256517361109658
rule_based,load_up,24993.268440121465,,32859.97266245195,0.013703044770249898,0.013703044770249898,0.08333333333333333,0.4808888888887037
rule_based,price_spike,26452.562945511992,,34855.203280292044,0.0,0.0,0.0,0.5038236111111082
td3_bc,efficiency_drop,51079.07318995581,7486.193070244523,170792.3215033108,106.84769596385588,2.9610888653889424,1.0,0.45623553240728526
td3_bc,in_distribution,49520.36013727598,8371.761664527223,172213.36507452742,106.12184169862542,3.0652618831223575,1.0,0.40110879629629825
td3_bc,load_up,94053.14268467115,18390.0810339335,372635.993676564,88.81336100287278,8.229822242263152,1.0,0.4369341435190279
td3_bc,price_spike,60972.51672514982,7485.661506245041,185079.72249123335,106.55146126045615,2.9904371163898076,1.0,0.47860937499994494
