algorithm,seed,scenario,episodes,mean_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_decision_time_ms
bc,0,in_distribution,12,365579.9331916708,984780.2313150534,53.32809821692458,43.131417273328815,1.0,0.34289965277781476
bc,0,load_up,12,584155.3151788453,1340973.543423044,74.6685478918711,70.07309001125422,1.0,0.399660416666688
bc,0,price_spike,12,377124.47260667797,1001365.2300101265,52.24437716373833,43.522159007885,1.0,0.4175878472221475
bc,0,efficiency_drop,12,355124.1655376244,976313.366749842,52.846396754823786,41.617214857295856,1.0,0.37209722222234265
bc,1,in_distribution,12,295974.30611262535,860795.5559027089,53.75626189374236,34.35466889632449,1.0,0.38328298611117134
bc,1,load_up,12,482304.65019066393,1192908.145109673,69.00928024405484,57.252666392225336,1.0,0.3769548611111611
bc,1,price_spike,12,329163.52499584155,892464.3470984009,52.1152400597421,37.45399883465574,1.0,0.3813607638889617
bc,1,efficiency_drop,12,280249.1945940572,844041.6740321652,54.341657140436695,32.16631859690522,1.0,0.38197361111111694
bc,2,in_distribution,12,351352.77251031407,945806.1226114399,53.76218476934628,41.33293085951744,1.0,0.434977777777728
bc,2,load_up,12,557612.7242497801,1290184.5973524482,73.60456332291626,66.72738236886555,1.0,0.38842013888886995
bc,2,price_spike,12,368017.53929030773,942914.2159476664,54.9417039166363,42.34551016865222,1.0,0.38727465277789264
bc,2,efficiency_drop,12,345423.3094906002,941254.1924468509,53.5459916859559,40.386039358306284,1.0,0.3657350694445949
td3_bc,0,in_distribution,12,49668.45922572378,174985.19342284385,102.50941493029404,3.129216232652251,1.0,0.4014732638888161
td3_bc,0,load_up,12,95045.24667469204,381688.4929409797,84.47019175651276,8.396069183123133,1.0,0.3890781250001702
td3_bc,0,price_spike,12,60490.66713527579,186714.0182678033,105.28842686659355,3.0393519643120803,1.0,0.4832934027777884
td3_bc,0,efficiency_drop,12,51499.965361610964,174420.53127687666,103.08356761965909,3.0545217057116667,1.0,0.5006517361109007
td3_bc,1,in_distribution,12,41075.53145591985,122941.14065400964,115.66687201381966,1.936351783438606,1.0,0.43223611111109506
td3_bc,1,load_up,12,75187.09129691769,290677.05339318194,97.59437655141143,5.793027475641384,1.0,0.47739930555658183
td3_bc,1,price_spike,12,53739.42025201217,142555.56999760424,112.7818454339599,2.013426509497833,1.0,0.4055319444446543
td3_bc,1,efficiency_drop,12,43391.31314657256,125008.7278038607,115.90867669050886,1.9231449370474445,1.0,0.4128065972219572
td3_bc,2,in_distribution,12,57817.08973018432,218713.76114672876,100.18923815176254,4.130217633276216,1.0,0.36961701388898366
td3_bc,2,load_up,12,111927.09008240374,445542.43469553033,84.37551470069415,10.500370068024937,1.0,0.4443250000003316
td3_bc,2,price_spike,12,68687.4627881615,225969.57920829247,101.58411148081501,3.918532875359509,1.0,0.547002777777392
td3_bc,2,efficiency_drop,12,58345.94106168388,212947.70542919505,101.55084358139975,3.9055999534077164,1.0,0.45524826388899775
cql,0,in_distribution,12,127860.40798139335,514285.8131728293,69.53079874292457,13.138321699123956,1.0,0.29838576388874216
cql,0,load_up,12,242937.77845111684,816925.8569039031,64.69630864899456,27.136115461487773,1.0,0.3189107638894326
cql,0,price_spike,12,137465.75295034717,532743.8619004679,69.78335080061724,13.013760694408594,1.0,0.29036145833380744
cql,0,efficiency_drop,12,128239.74746275753,510814.16137253965,70.22706442216135,12.932059672790826,1.0,0.33184861111114194
cql,1,in_distribution,12,90702.76874199124,365447.1215877862,71.94248026475445,8.428206258701993,1.0,0.2926378472220116
cql,1,load_up,12,168260.96314244592,608748.1079314364,64.65635317080064,17.70815594714359,1.0,0.3159159722218894
cql,1,price_spike,12,118230.77049162437,444868.4632504608,65.18319596134292,10.664254799212118,1.0,0.303773611111138
cql,1,efficiency_drop,12,89487.57054640482,354140.3298472856,73.58193345045393,7.998953154952048,1.0,0.374115624999622
cql,2,in_distribution,12,145937.88203621097,537823.9156091175,68.19743349649313,15.42333247303783,1.0,0.3405545138890847
cql,2,load_up,12,271001.00915993174,804028.1689220392,69.50832947774269,30.657046035267893,1.0,0.354788194444517
cql,2,price_spike,12,167935.2373433031,577250.749469803,67.62266492245314,16.99827604661694,1.0,0.337697916666614
cql,2,efficiency_drop,12,141622.8327272956,527258.7628237125,69.43409296526946,14.623996299418451,1.0,0.30218055555517354
